
16 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
    0       1n   1   0   1  0.00000e+00    0.000000      8.07100
    1       1H   1   1   0  7.08591e-01    0.708591      7.28900
    2      4He   4   2   2  6.90017e-02    0.276007      2.42500
    3      12C  12   6   6  2.53424e-04    0.003041      0.00000
    4      13C  13   6   7  2.81800e-06    0.000037      3.12500
    5      13N  13   7   6  0.00000e+00    0.000000      5.34600
    6      14N  14   7   7  7.88598e-05    0.001104      2.86300
    7      15N  15   7   8  2.91684e-07    0.000004      0.10100
    8      15O  15   8   7  0.00000e+00    0.000000      2.85500
    9      16O  16   8   8  6.01610e-04    0.009626     -4.73700
   10      17O  17   8   9  2.91684e-07    0.000005     -0.80900
   11      18O  18   8  10  1.20984e-06    0.000022     -0.78200
   12     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
   13     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
   14     19Fl  19   9  10  0.00000e+00    0.000000     -1.48700
   15     20Ne  20  10  10  7.81832e-05    0.001564     -7.04200

SUMMARY: 134 REACTIONS

92 f17-->p+o16 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-0.6000 prefac=1.0000 RGsymb:a+b<->c
93 he4+o16-->ne20 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.7340 prefac=1.0000 RGsymb:a+b<->c
94 he4+o16-->ne20 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.7340 prefac=1.0000 RGsymb:a+b<->c
95 ne20-->he4+o16 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.7340 prefac=1.0000 RGsymb:a+b<->c
96 ne20-->he4+o16 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.7340 prefac=1.0000 RGsymb:a+b<->c
97 he4+o16-->p+f19 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-8.1140 prefac=1.0000 RGsymb:a+b<->c+d
98 he4+o16-->p+f19 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-8.1140 prefac=1.0000 RGsymb:a+b<->c+d
99 p+f19-->he4+o16 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=8.1140 prefac=1.0000 RGsymb:a+b<->c+d
100 p+f19-->he4+o16 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=8.1140 prefac=1.0000 RGsymb:a+b<->c+d
101 n+o17-->o18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.0444 prefac=1.0000 RGsymb:a+b<->c
102 n+o17-->o18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.0444 prefac=1.0000 RGsymb:a+b<->c
103 o18-->n+o17 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.0444 prefac=1.0000 RGsymb:a+b<->c
104 o18-->n+o17 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.0444 prefac=1.0000 RGsymb:a+b<->c
105 p+o17-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6070 prefac=1.0000 RGsymb:a+b<->c
106 p+o17-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6070 prefac=1.0000 RGsymb:a+b<->c
107 p+o17-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6070 prefac=1.0000 RGsymb:a+b<->c
108 f18-->p+o17 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6070 prefac=1.0000 RGsymb:a+b<->c
109 f18-->p+o17 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6070 prefac=1.0000 RGsymb:a+b<->c
